"long","lat","group","order","region","subregion"
-83.5830841064453,34.9905319213867,39,9639,"north carolina","main"
-83.9497756958008,34.9790725708008,39,9640,"north carolina","main"
-84.0185317993164,34.9790725708008,39,9641,"north carolina","main"
-84.1445846557617,34.9790725708008,39,9642,"north carolina","main"
-84.3221969604492,34.9905319213867,39,9643,"north carolina","main"
-84.3221969604492,34.9962654113770,39,9644,"north carolina","main"
-84.2935485839844,35.2197151184082,39,9645,"north carolina","main"
-84.2878189086914,35.2369041442871,39,9646,"north carolina","main"
-84.2419815063477,35.2655525207520,39,9647,"north carolina","main"
-84.2190704345703,35.254093170166,39,9648,"north carolina","main"
-84.2076034545898,35.2426338195801,39,9649,"north carolina","main"
-84.1732330322266,35.2369041442871,39,9650,"north carolina","main"
-84.1273956298828,35.2426338195801,39,9651,"north carolina","main"
-84.093017578125,35.254093170166,39,9652,"north carolina","main"
-84.0529098510742,35.2827415466309,39,9653,"north carolina","main"
-84.0242614746094,35.2942008972168,39,9654,"north carolina","main"
-84.0185317993164,35.3113899230957,39,9655,"north carolina","main"
-84.0242614746094,35.3343086242676,39,9656,"north carolina","main"
